Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
10BA0000011,430408,437054,2,1,01-Jan-10,1650,6,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,62,9
10BA0000014,435011,436276,2,1,01-Jan-10,0205,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,36,19
10BA0000037,430429,437764,1,1,01-Jan-10,0124,6,Frost/ Ice,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,34,19
10BA0000064,429002,436842,2,1,01-Jan-10,0550,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,9
10CA0000023,429399,433811,2,3,01-Jan-10,1825,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,9
10CA0000023,429399,433811,2,3,01-Jan-10,1825,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,20,9
10CA0000023,429399,433811,2,3,01-Jan-10,1825,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,21,9
10CA0000024,432367,427238,1,4,01-Jan-10,1715,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,9
10CA0000024,432367,427238,1,4,01-Jan-10,1715,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,9
10CA0000024,432367,427238,1,4,01-Jan-10,1715,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,9
10CA0000024,432367,427238,1,4,01-Jan-10,1715,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,9
10CA0000026,430653,434680,2,1,02-Jan-10,1730,3,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,26,9
10CA0000038,428267,426152,2,2,02-Jan-10,1820,3,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,26,9
10CA0000038,428267,426152,2,2,02-Jan-10,1820,3,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,38,9
10BA0000071,435011,436276,2,2,03-Jan-10,2020,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,9
10BA0000071,435011,436276,2,2,03-Jan-10,2020,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,9
10CA0000039,428594,427816,1,2,03-Jan-10,1155,3,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,67,9
10CA0000039,428594,427816,1,2,03-Jan-10,1155,3,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,64,9
10CA0000040,428552,427713,1,2,03-Jan-10,1015,3,Snow,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,9
10CA0000040,428552,427713,1,2,03-Jan-10,1015,3,Snow,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,9
10CA0000203,424323,427170,2,3,03-Jan-10,2243,3,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,36,9
10CA0000203,424323,427170,2,3,03-Jan-10,2243,3,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,9,9
10CA0000203,424323,427170,2,3,03-Jan-10,2243,3,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,17,9
10AA0000097,424066,439065,2,2,04-Jan-10,2045,6,Frost/ Ice,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,39,9
10AA0000097,424066,439065,2,2,04-Jan-10,2045,6,Frost/ Ice,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,57,9
10AA0000200,429601,434670,2,2,04-Jan-10,1330,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,9
10AA0000200,429601,434670,2,2,04-Jan-10,1330,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,9
10BA0000020,428698,436765,3,1,04-Jan-10,0815,6,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,1
10BA0000162,431287,435025,1,1,04-Jan-10,0920,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,17,8
10CA0000035,432073,430377,1,1,04-Jan-10,1000,3,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,20,9
10AA0000089,421392,445782,2,2,05-Jan-10,0926,3,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,30,9
10AA0000089,421392,445782,2,2,05-Jan-10,0926,3,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,46,9
10AA0000116,421491,434043,2,2,05-Jan-10,2015,4,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,30,9
10AA0000116,421491,434043,2,2,05-Jan-10,2015,4,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,33,9
10BA0000140,432062,436085,2,4,06-Jan-10,1600,6,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,9
10BA0000140,432062,436085,2,4,06-Jan-10,1600,6,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,9
10BA0000140,432062,436085,2,4,06-Jan-10,1600,6,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,9
10BA0000140,432062,436085,2,4,06-Jan-10,1600,6,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,9
10BA0000145,434488,435735,1,1,06-Jan-10,1445,6,Snow,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,8,8
10BA0000133,431978,435830,3,2,07-Jan-10,1840,3,Frost/ Ice,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,59,9
10BA0000133,431978,435830,3,2,07-Jan-10,1840,3,Frost/ Ice,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,23,9
10AA0000122,428948,435467,2,1,08-Jan-10,1600,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,6,9
10AA0000180,422298,433420,1,1,08-Jan-10,1330,4,Snow,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,82,11
10AA0000579,427568,434539,2,1,08-Jan-10,0835,3,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,11
10AA0000093,428138,435846,2,1,09-Jan-10,0420,3,Snow,Darkness: street lights present and lit,Other,Driver,Slight,Male,40,11
10AA0000151,424819,437833,1,1,09-Jan-10,0100,3,Frost/ Ice,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,30,8
10BA0000123,432177,434624,2,2,09-Jan-10,1600,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,9
10BA0000123,432177,434624,2,2,09-Jan-10,1600,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,9
10CA0000303,426784,430438,2,1,09-Jan-10,2358,3,Frost/ Ice,Darkness: street lights present and lit,Snowing without high winds,Pedestrian,Slight,Male,24,9
10AA0000117,426380,437870,2,2,10-Jan-10,0004,6,Snow,Darkness: street lights present and lit,Other,Driver,Slight,Male,22,9
10AA0000117,426380,437870,2,2,10-Jan-10,0004,6,Snow,Darkness: street lights present and lit,Other,Driver,Slight,Male,40,9
10AA0000386,422475,432947,1,1,10-Jan-10,1305,6,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Male,26,9
10BA0000195,431966,435821,2,6,10-Jan-10,1905,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,53,9
10BA0000195,431966,435821,2,6,10-Jan-10,1905,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,23,9
10BA0000195,431966,435821,2,6,10-Jan-10,1905,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,40,9
10BA0000195,431966,435821,2,6,10-Jan-10,1905,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,22,9
10BA0000195,431966,435821,2,6,10-Jan-10,1905,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,15,9
10BA0000195,431966,435821,2,6,10-Jan-10,1905,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,9
10CA0000193,429716,431856,1,1,10-Jan-10,0449,6,Frost/ Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,24,9
10AA0000155,425451,438747,2,1,11-Jan-10,1940,6,Snow,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,61,9
10AA0000157,419385,432660,1,3,11-Jan-10,1555,6,Snow,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,7,9
10AA0000157,419385,432660,1,3,11-Jan-10,1555,6,Snow,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,9
10AA0000157,419385,432660,1,3,11-Jan-10,1555,6,Snow,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,5,9
10BA0000224,435127,441257,2,1,11-Jan-10,0825,6,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,26,9
10BA0000236,431815,439663,2,1,11-Jan-10,0950,6,Frost/ Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,51,9
10CA0000298,424277,428345,2,1,11-Jan-10,1320,3,Frost/ Ice,Daylight: street lights present,Other,Driver,Serious,Male,19,1
10CA0000444,430804,433254,2,3,11-Jan-10,0046,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,82,9
10CA0000444,430804,433254,2,3,11-Jan-10,0046,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,56,9
10CA0000444,430804,433254,2,3,11-Jan-10,0046,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,9
10AA0000204,427953,432874,1,1,12-Jan-10,0630,4,Frost/ Ice,Darkness: street lighting unknown,Fine with high winds,Pedestrian,Serious,Male,93,9
10AA0000395,425412,440434,2,1,12-Jan-10,1420,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,35,1
10CA0000267,430092,432869,2,1,12-Jan-10,1750,3,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Male,46,9
10MU0000265,439212,434013,1,1,12-Jan-10,2005,1,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,28,19
10AA0000275,426338,438939,2,2,13-Jan-10,1350,6,Frost/ Ice,Daylight: street lights present,Other,Driver,Slight,Male,28,9
